ClassID,SchoolID,GradeLevelID,TeacherID,ClassName,RoomNumber,Subject,Period,MaxCapacity,AcademicYear,SchoolYear,IsActive
304,15,10,271,Period 3 - Grade 10 - Math,1003,Science,3,32,2025,2024-2025,1
305,15,10,283,Period 4 - Grade 10 - Science,1004,Music,4,32,2025,2024-2025,1
306,15,10,271,Period 5 - Grade 10 - PE,1005,Social Studies,5,32,2025,2024-2025,1
307,15,10,274,Period 6 - Grade 10 - English,1006,Music,6,32,2025,2024-2025,1
308,15,10,274,Period 7 - Grade 10 - Language Arts,1007,Social Studies,7,32,2025,2024-2025,1
309,15,10,278,Period 8 - Grade 10 - English,1008,Music,8,32,2025,2024-2025,1
310,15,11,269,Period 1 - Grade 11 - English,1101,Language Arts,1,32,2025,2024-2025,1
311,15,11,282,Period 2 - Grade 11 - Technology,1102,Science,2,32,2025,2024-2025,1
312,15,11,283,Period 3 - Grade 11 - Math,1103,Technology,3,32,2025,2024-2025,1
313,15,11,269,Period 4 - Grade 11 - Technology,1104,Music,4,32,2025,2024-2025,1
314,15,11,286,Period 5 - Grade 11 - Language Arts,1105,Technology,5,32,2025,2024-2025,1
315,15,11,273,Period 6 - Grade 11 - Science,1106,Science,6,32,2025,2024-2025,1
316,15,11,271,Period 7 - Grade 11 - Music,1107,Art,7,32,2025,2024-2025,1
317,15,11,284,Period 8 - Grade 11 - Music,1108,Music,8,32,2025,2024-2025,1
318,15,12,287,Period 1 - Grade 12 - Social Studies,1201,PE,1,32,2025,2024-2025,1
319,15,12,280,Period 2 - Grade 12 - Art,1202,PE,2,32,2025,2024-2025,1
320,15,12,282,Period 3 - Grade 12 - Science,1203,Science,3,32,2025,2024-2025,1
321,15,12,281,Period 4 - Grade 12 - Technology,1204,PE,4,32,2025,2024-2025,1
322,15,12,285,Period 5 - Grade 12 - Art,1205,Technology,5,32,2025,2024-2025,1
323,15,12,274,Period 6 - Grade 12 - Social Studies,1206,Social Studies,6,32,2025,2024-2025,1
324,15,12,287,Period 7 - Grade 12 - PE,1207,Art,7,32,2025,2024-2025,1
325,15,12,272,Period 8 - Grade 12 - Science,1208,Technology,8,32,2025,2024-2025,1
326,16,1,305,Grade 1 - Section 1 - Art,101,English,1,25,2025,2024-2025,1
327,16,1,312,Grade 1 - Section 2 - Art,102,Technology,2,25,2025,2024-2025,1
328,16,1,303,Grade 1 - Section 3 - Music,103,Technology,3,25,2025,2024-2025,1
329,16,2,297,Grade 2 - Section 1 - Music,201,Math,1,25,2025,2024-2025,1
330,16,2,304,Grade 2 - Section 2 - English,202,Math,2,25,2025,2024-2025,1
331,16,2,300,Grade 2 - Section 3 - Science,203,Math,3,25,2025,2024-2025,1
332,16,3,309,Grade 3 - Section 1 - Math,301,Social Studies,1,25,2025,2024-2025,1
333,16,3,296,Grade 3 - Section 2 - Science,302,PE,2,25,2025,2024-2025,1
334,16,3,309,Grade 3 - Section 3 - PE,303,Science,3,25,2025,2024-2025,1
335,16,4,314,Grade 4 - Section 1 - Math,401,PE,1,25,2025,2024-2025,1
336,16,4,294,Grade 4 - Section 2 - Technology,402,Math,2,25,2025,2024-2025,1
337,16,4,299,Grade 4 - Section 3 - Language Arts,403,English,3,25,2025,2024-2025,1
338,16,5,307,Grade 5 - Section 1 - Technology,501,Social Studies,1,25,2025,2024-2025,1
339,16,5,311,Grade 5 - Section 2 - Technology,502,Music,2,25,2025,2024-2025,1
340,16,5,295,Grade 5 - Section 3 - Technology,503,PE,3,25,2025,2024-2025,1
341,17,6,326,Period 1 - Grade 6 - Math,601,Music,1,30,2025,2024-2025,1
342,17,6,321,Period 2 - Grade 6 - Music,602,Art,2,30,2025,2024-2025,1
343,17,6,323,Period 3 - Grade 6 - Math,603,Math,3,30,2025,2024-2025,1
344,17,6,326,Period 4 - Grade 6 - PE,604,Social Studies,4,30,2025,2024-2025,1
345,17,6,324,Period 5 - Grade 6 - Language Arts,605,Social Studies,5,30,2025,2024-2025,1
346,17,6,329,Period 6 - Grade 6 - Art,606,Technology,6,30,2025,2024-2025,1
347,17,7,326,Period 1 - Grade 7 - Social Studies,701,Social Studies,1,30,2025,2024-2025,1
348,17,7,319,Period 2 - Grade 7 - Language Arts,702,Science,2,30,2025,2024-2025,1
349,17,7,325,Period 3 - Grade 7 - English,703,Science,3,30,2025,2024-2025,1
350,17,7,317,Period 4 - Grade 7 - Technology,704,English,4,30,2025,2024-2025,1
351,17,7,321,Period 5 - Grade 7 - Math,705,Music,5,30,2025,2024-2025,1
352,17,7,319,Period 6 - Grade 7 - Technology,706,PE,6,30,2025,2024-2025,1
353,17,8,317,Period 1 - Grade 8 - Science,801,PE,1,30,2025,2024-2025,1
354,17,8,315,Period 2 - Grade 8 - Art,802,Language Arts,2,30,2025,2024-2025,1
355,17,8,326,Period 3 - Grade 8 - Science,803,Math,3,30,2025,2024-2025,1
356,17,8,317,Period 4 - Grade 8 - Art,804,Math,4,30,2025,2024-2025,1
357,17,8,327,Period 5 - Grade 8 - PE,805,Language Arts,5,30,2025,2024-2025,1
358,17,8,327,Period 6 - Grade 8 - Technology,806,Art,6,30,2025,2024-2025,1
359,18,9,332,Period 1 - Grade 9 - Art,901,Technology,1,32,2025,2024-2025,1
360,18,9,337,Period 2 - Grade 9 - Science,902,Technology,2,32,2025,2024-2025,1
361,18,9,332,Period 3 - Grade 9 - Technology,903,Science,3,32,2025,2024-2025,1
362,18,9,343,Period 4 - Grade 9 - Technology,904,Technology,4,32,2025,2024-2025,1
363,18,9,342,Period 5 - Grade 9 - English,905,Art,5,32,2025,2024-2025,1
364,18,9,337,Period 6 - Grade 9 - Social Studies,906,Art,6,32,2025,2024-2025,1
365,18,9,340,Period 7 - Grade 9 - Art,907,PE,7,32,2025,2024-2025,1
366,18,9,336,Period 8 - Grade 9 - Technology,908,Language Arts,8,32,2025,2024-2025,1
367,18,10,347,Period 1 - Grade 10 - Math,1001,English,1,32,2025,2024-2025,1
368,18,10,351,Period 2 - Grade 10 - Art,1002,Language Arts,2,32,2025,2024-2025,1
369,18,10,337,Period 3 - Grade 10 - Social Studies,1003,Math,3,32,2025,2024-2025,1
370,18,10,351,Period 4 - Grade 10 - Art,1004,Music,4,32,2025,2024-2025,1
371,18,10,355,Period 5 - Grade 10 - English,1005,Music,5,32,2025,2024-2025,1
372,18,10,338,Period 6 - Grade 10 - Technology,1006,PE,6,32,2025,2024-2025,1
373,18,10,330,Period 7 - Grade 10 - Technology,1007,Art,7,32,2025,2024-2025,1
374,18,10,346,Period 8 - Grade 10 - Technology,1008,Language Arts,8,32,2025,2024-2025,1
375,18,11,345,Period 1 - Grade 11 - Math,1101,PE,1,32,2025,2024-2025,1
376,18,11,358,Period 2 - Grade 11 - Social Studies,1102,Art,2,32,2025,2024-2025,1
377,18,11,346,Period 3 - Grade 11 - English,1103,English,3,32,2025,2024-2025,1
378,18,11,335,Period 4 - Grade 11 - Technology,1104,Technology,4,32,2025,2024-2025,1
379,18,11,330,Period 5 - Grade 11 - English,1105,Social Studies,5,32,2025,2024-2025,1
380,18,11,351,Period 6 - Grade 11 - Social Studies,1106,Music,6,32,2025,2024-2025,1
381,18,11,356,Period 7 - Grade 11 - English,1107,Social Studies,7,32,2025,2024-2025,1
382,18,11,347,Period 8 - Grade 11 - Music,1108,English,8,32,2025,2024-2025,1
383,18,12,353,Period 1 - Grade 12 - Science,1201,Math,1,32,2025,2024-2025,1
384,18,12,344,Period 2 - Grade 12 - Art,1202,Math,2,32,2025,2024-2025,1
385,18,12,332,Period 3 - Grade 12 - English,1203,Math,3,32,2025,2024-2025,1
386,18,12,335,Period 4 - Grade 12 - PE,1204,Technology,4,32,2025,2024-2025,1
387,18,12,332,Period 5 - Grade 12 - Social Studies,1205,PE,5,32,2025,2024-2025,1
388,18,12,343,Period 6 - Grade 12 - Music,1206,Language Arts,6,32,2025,2024-2025,1
389,18,12,350,Period 7 - Grade 12 - Music,1207,Music,7,32,2025,2024-2025,1
390,18,12,340,Period 8 - Grade 12 - Math,1208,Music,8,32,2025,2024-2025,1
391,19,1,362,Grade 1 - Section 1 - Technology,101,Math,1,25,2025,2024-2025,1
392,19,1,378,Grade 1 - Section 2 - English,102,Math,2,25,2025,2024-2025,1
393,19,1,361,Grade 1 - Section 3 - Art,103,Technology,3,25,2025,2024-2025,1
394,19,2,362,Grade 2 - Section 1 - PE,201,PE,1,25,2025,2024-2025,1
395,19,2,378,Grade 2 - Section 2 - English,202,PE,2,25,2025,2024-2025,1
396,19,2,373,Grade 2 - Section 3 - Music,203,Music,3,25,2025,2024-2025,1
397,19,3,359,Grade 3 - Section 1 - Language Arts,301,Science,1,25,2025,2024-2025,1
398,19,3,376,Grade 3 - Section 2 - Social Studies,302,Science,2,25,2025,2024-2025,1
399,19,3,371,Grade 3 - Section 3 - Technology,303,PE,3,25,2025,2024-2025,1
400,19,4,363,Grade 4 - Section 1 - PE,401,Art,1,25,2025,2024-2025,1
401,19,4,359,Grade 4 - Section 2 - Technology,402,Technology,2,25,2025,2024-2025,1
402,19,4,363,Grade 4 - Section 3 - English,403,Math,3,25,2025,2024-2025,1
403,19,5,359,Grade 5 - Section 1 - Music,501,Technology,1,25,2025,2024-2025,1
404,19,5,376,Grade 5 - Section 2 - English,502,PE,2,25,2025,2024-2025,1
405,19,5,365,Grade 5 - Section 3 - Art,503,Social Studies,3,25,2025,2024-2025,1
406,20,6,392,Period 1 - Grade 6 - Technology,601,Science,1,30,2025,2024-2025,1
407,20,6,384,Period 2 - Grade 6 - Science,602,Social Studies,2,30,2025,2024-2025,1
408,20,6,398,Period 3 - Grade 6 - PE,603,Social Studies,3,30,2025,2024-2025,1
409,20,6,382,Period 4 - Grade 6 - Science,604,Math,4,30,2025,2024-2025,1
410,20,6,406,Period 5 - Grade 6 - Technology,605,Language Arts,5,30,2025,2024-2025,1
411,20,6,399,Period 6 - Grade 6 - Technology,606,English,6,30,2025,2024-2025,1
412,20,7,388,Period 1 - Grade 7 - English,701,PE,1,30,2025,2024-2025,1
413,20,7,382,Period 2 - Grade 7 - Social Studies,702,Language Arts,2,30,2025,2024-2025,1
414,20,7,389,Period 3 - Grade 7 - Art,703,Science,3,30,2025,2024-2025,1
415,20,7,400,Period 4 - Grade 7 - Social Studies,704,English,4,30,2025,2024-2025,1
416,20,7,388,Period 5 - Grade 7 - English,705,Social Studies,5,30,2025,2024-2025,1
417,20,7,389,Period 6 - Grade 7 - Language Arts,706,Language Arts,6,30,2025,2024-2025,1
418,20,8,389,Period 1 - Grade 8 - PE,801,Science,1,30,2025,2024-2025,1
419,20,8,397,Period 2 - Grade 8 - Art,802,Art,2,30,2025,2024-2025,1
420,20,8,392,Period 3 - Grade 8 - Science,803,Math,3,30,2025,2024-2025,1
421,20,8,389,Period 4 - Grade 8 - Social Studies,804,Social Studies,4,30,2025,2024-2025,1
422,20,8,401,Period 5 - Grade 8 - Music,805,PE,5,30,2025,2024-2025,1
423,20,8,405,Period 6 - Grade 8 - Art,806,Science,6,30,2025,2024-2025,1
